ID,smiles,IC50,WT_score,Mut_score,score_diff,RMSD_diff,WT pose dist to mutation,Mut pose dist to mutation
OSM-LO-70,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=CC(C(F)(F)F)=C4)N32,0.3915,-8.6,-9.2,0.5999999999999996,0.9899747634450409,4.661857304450087,4.43595608153424
OMS-LO-74,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCC4=CC=C(C(F)(F)F)C=C4)N32,5.27,-8.8,-8.5,-0.3000000000000007,1.2708159304290525,4.250145268342956,3.9614352955964187
OSM-LO-71,ClC1=CC2=C(OCO2)C=C1COC3=CN=CC4=NN=C(C5=CC=C(OC(F)F)C=C5)N43,>25,-8.6,-8.5,-0.09999999999999964,2.016588087867483,5.000258965347302,3.805630073661114
OSM-LO-73,FC(F)OC1=CC=C(C=C1)C1=NN=C2C=NC=C(OCCOC3=CC(F)=CC=C3)N12,1.34,-7.7,-7.8,0.09999999999999964,1.3715253916716235,3.649686820909069,3.654105774791898
OSM-LO-72,COC(COC1=CN=CC2=NN=C(N12)C1=CC=C(OC(F)F)C=C1)C1=CC=C(OC(F)F)C=C1,0.07685,-8.4,-8.4,0.0,7.294784139853546,2.2190467608607936,3.5681695848608244
OSM-LO-76,FC(F)OC1=CC=C(C=C1)C1=NN=C2C=NC=C(OCC3=CSC(=C3)C(F)(F)F)N12,2.46,-7.4,-8.0,0.5999999999999996,6.995817486184156,1.5248005465594188,3.739391877544612
OSM-LO-77,FC(F)OC1=CC=C(C=C1)C1=NN=C2C=NC=C(OCC3CC4=C3C=C(F)C(F)=C4)N12,0.4755,-9.6,-9.2,-0.40000000000000036,1.8764614777339168,5.040078351317105,5.415733070847605
OSM-S-369,FC(F)OC(C=C1)=CC=C1C2=NN=C3C=NC=C(OCCC4=CC=CC=C4)N32,0.1685,-8.9,-8.9,0.0,0.18484037515032867,5.391058387835077,5.5667784930620385
