ID,smiles,IC50,WT_score,Mut_score,score_diff,RMSD_diff,WT pose dist to mutation,Mut pose dist to mutation
OSM-S-416,COC(COc1cncc2nnc(-c3ccc(C#N)cc3)n12)c1ccc(F)c(F)c1,0.43,-8.4,-8.4,0.0,0.08314585577966774,4.74091046078954,4.700878406257849
OSM-S-417,c1ccc(CCOc2nnc3c(N4CCCCC4)nccn23)cc1,10.0,-7.7,-7.8,0.09999999999999964,0.2929570503219431,10.17746035583395,10.26555299751942
OSM-S-419,FC(F)Oc1ccc(-c2nnc3cncc(OCC(c4ccccc4)N4CCOCC4)n23)cc1,1.58,-8.3,-8.2,-0.10000000000000142,5.4692164155388845,4.859721562757175,3.0507363676902477
OSM-S-421,FC(F)Oc1ccc(-c2nnc3cncc(OCCN4CC5(COC5)C4)n23)cc1,10.0,-7.9,-8.0,0.09999999999999964,0.17799775279480312,4.216563931574397,4.192037136242901
OSM-S-420,OCc1ccc(COc2cncc3nnc(-c4ccc(OC(F)F)cc4)n23)cc1,10.0,-8.6,-8.4,-0.1999999999999993,1.2079891141893622,6.063087435321451,5.748087073697318
OSM-S-422,FC(F)Oc1ccc(-c2nnc3cncc(OCCC4COC4)n23)cc1,10.0,-7.7,-7.6,-0.10000000000000053,0.8326394547092165,5.229420564068128,5.961426908533112
OSM-S-423,Fc1ccc(C2(COc3cncc4nnc(-c5ccc(OC(F)F)cc5)n34)OCCO2)cc1F,0.667,-9.2,-9.2,0.0,0.29543960266614455,5.695752221007704,5.314655756154655
OSM-S-430,CCN(CC)C(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccc(F)c(F)c1,10.0,-7.7,-7.9,0.20000000000000018,0.5697176201125141,2.784335622658425,3.0203526281669357
OSM-S-431,CCN(C)C(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccc(F)c(F)c1,8.85,-8.1,-7.8,-0.2999999999999998,0.7421727176723373,3.8213345430086663,3.4535255396015585
OSM-S-494,NC(=O)c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,10.0,-8.7,-8.3,-0.3999999999999986,9.450754905843374,4.748195147118707,4.258048695581112
OSM-S-495,NC(=O)c1cccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)c1,10.0,-8.6,-8.3,-0.29999999999999893,0.330271882135056,7.605228150327719,7.680616323421304
OSM-S-496,CN(C)C(=O)c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,3.69,-7.8,-8.0,0.20000000000000018,9.93403878331402,1.393967118005701,7.507981884045917
OSM-S-432,Fc1ccc(CCOc2cncc3nnc(Br)n23)cc1F,10.0,-7.5,-7.5,0.0,1.7378079377685638,6.976787856061231,6.1389288848732955
OSM-S-503,FC(F)(F)c1ncc(OCCc2ccccc2)n2c(-c3ccncc3)nnc12,10.0,-8.3,-8.4,0.09999999999999964,0.10097984240148386,3.5900542274631,3.716623081119003
OSM-S-504,FC(F)Oc1ccc(-c2nnc3c(C(F)(F)F)ncc(OCCc4ccccc4)n23)cc1,10.0,-8.7,-8.9,0.20000000000000107,0.6207003604799985,3.1506515425655177,3.279501374058558
